score_2025,rank_2025,level,source_college,source_major_2025,match_status,match_count,official_college_code,official_college_name,official_major_code,official_major_name_2026,plan_num_2026,major_attr_2026,major_remark_2026,first_subject,reselect_subject,tuition,plan_id
677,431,985,四川大学,口腔医学(八年制),exact_school_major,1,0610,四川大学,24,口腔医学(八年制),2,,,物理,化学,7250,1_3_0610_5_24
676,475,985,中国人民大学,理科试验班(新时代经济学拔尖人才班)[数字经济(经济学院新时代经济学拔尖人才班)],unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
676,475,985,中国人民大学,统计学类(经济统计学、应用统计学、统计学、数据科学),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
676,475,985,中国人民大学,数学类(财政学与数学创新人才班)(数学与应用数学),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
676,475,985,北京理工大学,工科试验班(未来精工技术)(人工智能、机器人工程、数据科学与大数据技术、计算机科学与技术、智能制造工程、智能感知工程、网络空间安全),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
676,475,985,北京航空航天大学,工程力学(拔尖学生培养计划),exact_school_major,1,0006,北京航空航天大学,05,工程力学(拔尖学生培养计划),3,,(含信息与计算科学-工程力学双学士学位项目),物理,化学,5500,1_3_0006_5_05
676,475,985,北京航空航天大学,飞行器动力工程(卓越人才培养试验班),exact_school_major,1,0006,北京航空航天大学,08,飞行器动力工程(卓越人才培养试验班),5,,,物理,化学,5500,1_3_0006_5_08
676,475,985,南京大学,临床医学(卓越医师班),exact_school_major,1,0284,南京大学,50,临床医学(卓越医师班),2,,,物理,化学,7480,1_3_0284_5_50
675,511,985,北京大学医学部,预防医学(七年制本硕连读),exact_school_major,1,9001,北京大学医学部,06,预防医学(七年制本硕连读),1,,,物理,化学,6000,1_3_9001_5_06
675,511,985,北京大学医学部,英语(医学英语),exact_school_major,1,9001,北京大学医学部,08,英语(医学英语),1,,(只招收英语考生),物理,无限制,6000,1_3_9001_5_08
675,511,985,北京航空航天大学,工科试验班类(计算与智能科学类),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
675,511,985,同济大学,工科试验班(国豪精英班),exact_school_major,1,0247,同济大学,01,工科试验班(国豪精英班),10,,"(工科拔尖人才培养计划,含未来技术班、20的四次方无限跃升计划。所有工科专业任选。专业确认后按专业标准收费)",物理,化学,7000,1_3_0247_5_01
675,511,985,武汉大学,理科试验班(数学与应用数学、物理学、化学、生物科学、智能制造工程、电气工程及其自动化、遥感科学与技术、数字经济),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
674,551,985,上海交通大学医学院,口腔医学(5+3一体化),exact_school_major,1,9248,上海交通大学医学院,06,口腔医学(5+3一体化),3,,"(卓越医学创新人才计划;含卡罗林斯卡大学,大阪齿科大学,福冈齿科大学等交流项目)",物理,化学,8140,1_3_9248_5_06
674,551,985,中山大学,临床医学(八年制),exact_school_major,1,0558,中山大学,1G,临床医学(八年制),3,,(不招色盲色弱)(广州校区北校园),物理,化学,7660,1_3_0558_5_1G
674,551,985,北京理工大学,工科试验班(徐特立英才班)(人工智能、机器人工程、数据科学与大数据技术、计算机科学与技术、智能制造工程、智能感知工程、网络空间安全、自动化、智能无人系统技术),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
674,551,985,西安交通大学,智能制造工程(钱学森班),exact_school_major,1,0698,西安交通大学,1D,智能制造工程(钱学森班),2,,,物理,化学,6600,1_3_0698_5_1D
673,596,985,东南大学,工科试验班(吴健雄班)[信息工程(等四年制理工科专业)],exact_school_major,1,0286,东南大学,15,工科试验班(吴健雄班)[信息工程(等四年制理工科专业)],10,,,物理,化学,6380,1_3_0286_5_15
673,596,985,北京师范大学,数学类[数学与应用数学、统计学、数学与应用数学(励耘实验班)],unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
673,596,985,北京航空航天大学,工科试验班类(医工交叉试验班)(生物医学工程、智能医学工程),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
673,596,985,北京航空航天大学,工科试验班类(信息科学与技术类),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
673,596,985,四川大学,临床医学(八年制),exact_school_major,1,0610,四川大学,21,临床医学(八年制),3,,,物理,化学,7250,1_3_0610_5_21
672,640,985,北京航空航天大学,理科试验班类(中法工程师学院)(数学与应用数学、信息与计算科学、工程力学、应用物理学),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
672,640,985,华中科技大学,光电信息科学与工程,exact_school_major,1,0487,华中科技大学,1K,光电信息科学与工程,3,,,物理,化学,5850,1_3_0487_5_1K
672,640,985,同济大学,人工智能(拔尖班),exact_school_major,1,0247,同济大学,32,人工智能(拔尖班),4,,(对接人工智能专项。单色不能识别者不录取),物理,化学,7000,1_3_0247_5_32
672,640,985,武汉大学,计算机科学与技术(弘毅班),exact_school_major,1,0486,武汉大学,L2,计算机科学与技术(弘毅班),1,,(拔尖人才培养试验班),物理,化学,5850,1_3_0486_5_L2
672,640,985,武汉大学,网络空间安全(创新班),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
672,640,985,西安交通大学,工科试验班(电气类)(电气工程及其自动化、能源互联网工程),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
671,696,985,北京大学医学部,医学技术类(医学检验技术、医学影像技术),exact_school_major,1,9001,北京大学医学部,0A,医学技术类(医学检验技术、医学影像技术),3,,,物理,化学,6000,1_3_9001_5_0A
671,696,985,北京航空航天大学,工科试验班类(航空航天类),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
671,696,985,华中科技大学,电子信息类(电信学院)(电子信息工程、通信工程、电磁场与无线技术),exact_school_major,1,0487,华中科技大学,1J,电子信息类(电信学院)(电子信息工程、通信工程、电磁场与无线技术),3,,,物理,化学,5850,1_3_0487_5_1J
671,696,985,华中科技大学,计算机类(计算机学院)(计算机科学与技术、数据科学与大数据技术、智能科学与技术),exact_school_major,1,0487,华中科技大学,21,计算机类(计算机学院)(计算机科学与技术、数据科学与大数据技术、智能科学与技术),8,,,物理,化学,5850,1_3_0487_5_21
671,696,985,复旦大学医学院,口腔医学,exact_school_major,1,9246,复旦大学医学院,A6,口腔医学,2,,(含卓越口腔医师班。含口腔颌面外科方向；含口腔医学-人工智能双学士学位),物理,化学,7400,1_3_9246_5_A6
671,696,985,西安交通大学,工程力学(国家拔尖计划),exact_school_major,1,0698,西安交通大学,1H,工程力学(国家拔尖计划),2,,,物理,化学,6600,1_3_0698_5_1H
670,745,985,上海交通大学医学院,医学试验班(临床方向)[临床医学(五年制)],unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
670,745,985,华中科技大学,电气工程及其自动化,exact_school_major,1,0487,华中科技大学,1F,电气工程及其自动化,4,,,物理,化学,5850,1_3_0487_5_1F
670,745,985,武汉大学,理科试验班(弘毅双学位试验班)(数学与应用数学、遥感科学与技术),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
670,745,985,武汉大学,导航工程(智能导航创新班),exact_school_major,1,0486,武汉大学,N3,导航工程(智能导航创新班),2,,,物理,化学,4500,1_3_0486_5_N3
670,745,985,浙江大学医学院,口腔医学(5+3一体化),exact_school_major,1,9335,浙江大学医学院,9C,口腔医学(5+3一体化),2,,,物理,化学,6000,1_3_9335_5_9C
670,745,985,西北工业大学,航空航天类(智慧三航拔尖班)(飞行器设计与工程、计算机科学与技术),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
669,788,985,东南大学,电子信息类(信息工程、电子科学与技术、海洋信息工程),exact_school_major,1,0286,东南大学,06,电子信息类(信息工程、电子科学与技术、海洋信息工程),10,,,物理,化学,6380,1_3_0286_5_06
669,788,985,东南大学,集成电路设计与集成系统,exact_school_major,1,0286,东南大学,08,集成电路设计与集成系统,6,,,物理,化学,6380,1_3_0286_5_08
669,788,985,华中科技大学,自动化类(自动化、智能医学工程),exact_school_major,1,0487,华中科技大学,1N,自动化类(自动化、智能医学工程),4,,,物理,化学,5850,1_3_0487_5_1N
669,788,985,南开大学,工科试验班(卓越拔尖计划伯苓班)(光电信息科学与工程、计算机科学与技术、智能科学与技术),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
669,788,985,哈尔滨工业大学(深圳),工科试验班(计算机与电子通信)(计算机科学与技术、通信工程、集成电路设计与集成系统、自动化、电气工程及其自动化),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
669,788,985,浙江大学医学院,临床医学(5+3一体化),exact_school_major,1,9335,浙江大学医学院,9B,临床医学(5+3一体化),4,,,物理,化学,6000,1_3_9335_5_9B
668,852,985,北京理工大学,工科试验班(信息科学技术)(人工智能、机器人工程、数据科学与大数据技术、自动化、电气工程及其自动化、计算机科学与技术、软件工程、网络空间安全、密码科学与技术、信息对抗技术),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
668,852,985,华中科技大学,临床医学(八年制),exact_school_major,1,0487,华中科技大学,0Q,临床医学(八年制),2,,(色弱、色盲、单色识别不全者不予录取),物理,化学,5850,1_3_0487_5_0Q
668,852,985,南开大学,理科试验班(卓越拔尖计划伯苓班)(物理学、化学、生物科学),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
668,852,985,同济大学,工科试验班(卓越计划班),exact_school_major,1,0247,同济大学,02,工科试验班(卓越计划班),17,,"[含机器人、工程互联网、智能网联交通(智能网联车辆、低空技术与工程)、智慧空间四个领域,领域内专业任选]",物理,化学,7000,1_3_0247_5_02
668,852,985,国防科技大学,计算机科学与技术(天河拔尖班),exact_school_major,1,J002,国防科技大学,08,计算机科学与技术(天河拔尖班),2,,(考生须为应届普通高中毕业生；政治面貌为中共党员或共青团员)(考生入校后以英语为公共外语教学内容安排教学),物理,化学,6500,1_3_J002_5_08
